Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Fx,Fy,Fz,Mx,My,Mz,Extra 1,Extra 2
s,N,N,N,N,N,N,N,N,N,N,N,Nm,Nm,Nm,N,N
14,-0.324467,17.7141,16.5743,-0.337982,2.78942,-3.2717,5.67093,10.5665,17.3897,16.2363,15.7551,-0.961383,-0.3287,1.54459,0,0
14.1,-0.0536237,20.6153,19.3011,1.47062,2.95737,-2.85034,5.29502,11.2988,20.5617,20.7717,16.7009,-0.947991,-0.354345,1.72338,0,0
14.2,-0.606101,17.9859,18.1947,0.317383,2.34789,-3.68151,6.58504,11.0975,17.3798,18.5121,16.3489,-1.09343,-0.316256,1.60536,0,0
14.3,-0.429753,18.5841,18.4811,1.32926,2.56882,-2.78887,5.86537,10.7379,18.1544,19.8104,16.3833,-0.967343,-0.306908,1.60785,0,0
14.4,0.18474,18.5492,18.1574,2.78179,2.60391,-3.14135,5.39104,11.2922,18.734,20.9392,16.1458,-0.990187,-0.349391,1.51723,0,0
14.5,0.18267,19.0725,19.2715,3.40554,3.14396,-2.98931,5.89327,11.9579,19.2552,22.6771,18.0058,-1.01755,-0.365936,1.56214,0,0
14.6,-0.100381,18.546,19.5575,3.85775,3.0886,-2.81339,5.98668,11.6819,18.4456,23.4153,17.9438,-1.00012,-0.347917,1.54316,0,0
14.7,0.107683,21.0888,23.2202,6.0973,3.18811,-3.11192,4.64935,11.3844,21.1965,29.3175,16.1099,-0.917558,-0.391051,1.7201,0,0
14.8,-0.239999,20.9334,19.2577,1.44468,3.04751,-3.64064,5.53992,11.7645,20.6934,20.7024,16.7113,-1.02911,-0.387383,1.75186,0,0
14.9,-1.39814,16.8188,20.4209,4.18941,2.79999,-2.78756,5.8209,10.2721,15.4206,24.6104,16.1054,-0.924634,-0.301163,1.53442,0,0
15,0.119999,18.4204,19.4351,3.96293,2.93339,-2.53361,5.14363,10.84,18.5404,23.398,16.3834,-0.896069,-0.3349,1.51644,0,0
15.1,0.39662,16.7989,20.1815,6.22025,2.51814,-2.30713,5.7312,10.2919,17.1956,26.4017,16.2342,-0.909198,-0.28158,1.36197,0,0
15.2,0.123269,18.3553,20.3037,5.63638,2.87999,-2.59574,4.31649,10.4219,18.4786,25.9401,15.0226,-0.831111,-0.347433,1.48836,0,0
15.3,-0.719343,18.6014,17.411,-0.478581,2.50538,-3.50483,6.29425,11.1366,17.8821,16.9325,16.4314,-1.05974,-0.325578,1.64763,0,0
15.4,1.25482,17.395,19.8971,7.03659,2.68021,-2.47694,5.02941,10.8141,18.6498,26.9337,16.0468,-0.899315,-0.328256,1.31388,0,0
15.5,0.843484,20.9938,22.6685,5.92793,3.31443,-3.15715,6.49142,13.2556,21.8373,28.5964,19.9043,-1.12641,-0.397074,1.66086,0,0
15.6,-0.987353,18.657,20.4027,1.59596,2.55236,-3.21426,6.78068,11.4313,17.6697,21.9987,17.5501,-1.08525,-0.312519,1.69376,0,0
